Notification ID,Alarm Number,Alarm Type,Severity,Alarm Time,Probable Cause,Probable Cause Code,Alarm Text,Distinguished Name,Object Class,Acknowledgement State,Acknowledgement Time/UnAcknowledgement Time,Acknowledgement User,Cancel State,Cancel Time,Cancel User,Name,Maintenance Region Name,Site Name,Site Priority,Site Address,Extra Information,Diagnostic Info,User Additional Information,Supplementary Information,Additional Information 1,Additional Information 2,Additional Information 3,Correlation Indicator,Notes Indicator,Trouble Ticket Indicator,Alarm Sound,Instance Counter,Consecutive Number,Alarm Insertion Time,Alarm Update Time,Controlling Object Name,Origin Alarm Time,Origin Alarm Update Time,Origin Acknowledgement/UnAcknowledgement Time,Origin Cancel Time,Related DN's
16607956889790000023385,160608,Equipment,Major,2022-08-18 12:08:06,Link failure,517,CCDB Communication Failure,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-18 12:08:14,WITHCANCEL,true,2022-08-18 12:08:13,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=21:PoolMemberId=0:Resource_type=ccdbLink:communicationFailure"", ""additional_info"": ""Link to RTDB server is lost"", ""host"": ""s3tas01-tafe-4"", ""container"": ""4979ae4370f2"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58172059,2022-08-18 12:08:09,2022-08-18 12:08:06,,2022-08-18 12:08:06 +08:00,2022-08-18 12:08:06 +08:00,2022-08-18 12:08:14 +08:00,2022-08-18 12:08:13 +08:00,
16607956865900000023381,160608,Equipment,Major,2022-08-18 12:08:04,Link failure,517,CCDB Communication Failure,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-18 12:08:11,WITHCANCEL,true,2022-08-18 12:08:10,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=16:PoolMemberId=0:Resource_type=ccdbLink:communicationFailure"", ""additional_info"": ""Link to RTDB server is lost"", ""host"": ""s3tas01-tafe-3"", ""container"": ""d6cb52f54ee6"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58172052,2022-08-18 12:08:07,2022-08-18 12:08:04,,2022-08-18 12:08:04 +08:00,2022-08-18 12:08:04 +08:00,2022-08-18 12:08:11 +08:00,2022-08-18 12:08:10 +08:00,
16607956866270000023382,160666,Equipment,Critical,2022-08-18 12:08:04,Link failure,517,SCDB Communication Failure,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-19 14:00:02,cleanup,true,2022-08-18 12:08:11,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=16:PoolMemberId=0:Resource_type=scdbLink:scdbCommunicationFailure"", ""additional_info"": ""Connection(s) to the SCDB (internal) failed. "", ""host"": ""s3tas01-tafe-3"", ""container"": ""d6cb52f54ee6"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58172053,2022-08-18 12:08:07,2022-08-18 12:08:04,,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-18 12:08:11 +08:00,
16607956865650000023380,160621,Processing,Critical,2022-08-18 12:08:04,Configuration Or Customizing Error,307,IM Connection Failure,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-19 14:00:02,cleanup,true,2022-08-18 12:08:06,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=16:PoolMemberId=0:Resource_type=imLink:imConnectFailure"", ""additional_info"": ""Connections to 0.0.0.0 IM peer failed."", ""host"": ""s3tas01-tafe-3"", ""container"": ""d6cb52f54ee6"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58172054,2022-08-18 12:08:07,2022-08-18 12:08:04,,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-18 12:08:06 +08:00,
16607956865190000023379,160680,Communication,Critical,2022-08-18 12:08:04,Unavailable,14,TAFE lost connection to iCDF,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-19 14:00:02,cleanup,true,2022-08-18 12:08:09,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=16:PoolMemberId=0:Resource_type=icdfLink:diamType=Abf:diamAppInstId=0:diamRemoteIndex=0:linkDown"", ""additional_info"": ""Connection to the iCDF <10.245.0.151> is down"", ""host"": ""s3tas01-tafe-3"", ""container"": ""d6cb52f54ee6"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58172055,2022-08-18 12:08:07,2022-08-18 12:08:04,,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-18 12:08:09 +08:00,
16607956837250000023375,160680,Communication,Critical,2022-08-18 12:08:02,Unavailable,14,TAFE lost connection to iCDF,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-19 14:00:02,cleanup,true,2022-08-18 12:08:09,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=11:PoolMemberId=0:Resource_type=icdfLink:diamType=Abf:diamAppInstId=0:diamRemoteIndex=0:linkDown"", ""additional_info"": ""Connection to the iCDF <10.245.0.150> is down"", ""host"": ""s3tas01-tafe-2"", ""container"": ""ca0699d1ad9c"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58172048,2022-08-18 12:08:04,2022-08-18 12:08:02,,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-18 12:08:09 +08:00,
16607956857970000023377,160666,Equipment,Critical,2022-08-18 12:08:02,Link failure,517,SCDB Communication Failure,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-19 14:00:02,cleanup,true,2022-08-18 12:08:09,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=11:PoolMemberId=0:Resource_type=scdbLink:scdbCommunicationFailure"", ""additional_info"": ""Connection(s) to the SCDB (internal) failed. "", ""host"": ""s3tas01-tafe-2"", ""container"": ""ca0699d1ad9c"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58172049,2022-08-18 12:08:06,2022-08-18 12:08:02,,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-18 12:08:09 +08:00,
16607956856960000023376,160621,Processing,Critical,2022-08-18 12:08:02,Configuration Or Customizing Error,307,IM Connection Failure,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-19 14:00:02,cleanup,true,2022-08-18 12:08:05,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=11:PoolMemberId=0:Resource_type=imLink:imConnectFailure"", ""additional_info"": ""Connections to 0.0.0.0 IM peer failed."", ""host"": ""s3tas01-tafe-2"", ""container"": ""ca0699d1ad9c"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58172050,2022-08-18 12:08:06,2022-08-18 12:08:02,,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-18 12:08:05 +08:00,
16607956858470000023378,160608,Equipment,Major,2022-08-18 12:08:02,Link failure,517,CCDB Communication Failure,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-18 12:08:10,WITHCANCEL,true,2022-08-18 12:08:09,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=11:PoolMemberId=0:Resource_type=ccdbLink:communicationFailure"", ""additional_info"": ""Link to RTDB server is lost"", ""host"": ""s3tas01-tafe-2"", ""container"": ""ca0699d1ad9c"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58172051,2022-08-18 12:08:06,2022-08-18 12:08:02,,2022-08-18 12:08:02 +08:00,2022-08-18 12:08:02 +08:00,2022-08-18 12:08:10 +08:00,2022-08-18 12:08:09 +08:00,
16607956819280000023374,160666,Equipment,Critical,2022-08-18 12:07:59,Link failure,517,SCDB Communication Failure,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-19 14:00:02,cleanup,true,2022-08-18 12:08:06,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=6:PoolMemberId=0:Resource_type=scdbLink:scdbCommunicationFailure"", ""additional_info"": ""Connection(s) to the SCDB (internal) failed. "", ""host"": ""s3tas01-tafe-1"", ""container"": ""a2bff59333c5"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58172043,2022-08-18 12:08:02,2022-08-18 12:07:59,,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-18 12:08:06 +08:00,
